chr_rna_RCH	start_rna_RCH	end_rna_RCH	gene_name__RCH	score	str_RCH	gene_type_RCH	gene_name_not_uniq_RCH	from_RCH	id_RCH	chr_rna	start_rna	end_rna	gene_name	lala	str	gene_id	overlap	merge_len	overlap/merge_len	len_RCH	len
chr1	3306636	3310096	AL590438.1	100	-	lncRNA	AL590438.1	gencode	694	chr1	3306635	3310096	AL590438.1	100	-	ENSG00000272235.1	3460	3461	0.999711066165848	3461	3462
chr1	3623190	3624743	AL513320.1	100	-	lncRNA	AL513320.1	gencode	774	chr1	3623189	3624743	AL513320.1	100	-	ENSG00000238260.1	1553	1554	0.9993564993564994	1554	1555
chr1	3785008	3785538	AL365330.1	100	+	lncRNA	AL365330.1	gencode	819	chr1	3785007	3785538	AL365330.1	100	+	ENSG00000272153.1	530	531	0.9981167608286252	531	532
chr1	6234692	6239444	LINC00337	100	+	lncRNA	LINC00337	gencode	1056	chr1	6234691	6239444	LINC00337	100	+	ENSG00000225077.3	4752	4753	0.9997896065642752	4753	4754
chr1	6393555	6394391	AL031848.2	100	+	lncRNA	AL031848.2	gencode	1085	chr1	6393554	6394391	AL031848.2	100	+	ENSG00000271746.1	836	837	0.998805256869773	837	838
chr1	7693124	7694844	AL359881.3	100	-	lncRNA	AL359881.3	gencode	1245	chr1	7693123	7694844	AL359881.3	100	-	ENSG00000270171.1	1720	1721	0.999418942475305	1721	1722
chr1	7776383	7776775	Z98884.2	100	+	lncRNA	Z98884.2	gencode	1254	chr1	7776382	7776775	Z98884.2	100	+	ENSG00000269925.1	392	393	0.9974554707379135	393	394
chr1	8201518	8215210	LINC01714	100	+	lncRNA	LINC01714	gencode	1308	chr1	8201517	8215210	LINC01714	100	+	ENSG00000227634.3	13692	13693	0.9999269699846637	13693	13694
chr1	8805860	8807051	AL357552.2	100	-	lncRNA	AL357552.2	gencode	1375	chr1	8805859	8807051	AL357552.2	100	-	ENSG00000228423.2	1191	1192	0.9991610738255033	1192	1193
chr1	8878835	8879894	ENO1-AS1	100	+	lncRNA	ENO1-AS1	gencode	1388	chr1	8878834	8879894	ENO1-AS1	100	+	ENSG00000230679.1	1059	1060	0.9990566037735849	1060	1061
chr1	9148011	9198906	MIR34AHG	100	-	lncRNA	MIR34AHG	gencode	1449	chr1	9148010	9198906	MIR34AHG	100	-	ENSG00000228526.7	50895	50896	0.9999803520905376	50896	50897
chr1	9182004	9196284	LNCTAM34A	100	+	lncRNA	LNCTAM34A	gencode	1456	chr1	9182003	9196284	LNCTAM34A	100	+	ENSG00000234546.4	14280	14281	0.9999299768923745	14281	14282
chr1	9652610	9654586	PIK3CD-AS1	100	-	lncRNA	PIK3CD-AS1	gencode	1550	chr1	9652609	9654586	PIK3CD-AS1	100	-	ENSG00000179840.5	1976	1977	0.9994941831057157	1977	1978
chr1	9672426	9687555	PIK3CD-AS2	100	-	lncRNA	PIK3CD-AS2	gencode	1552	chr1	9672425	9687555	PIK3CD-AS2	100	-	ENSG00000231789.2	15129	15130	0.9999339061467284	15130	15131
chr1	10429881	10430677	AL139424.1	100	-	lncRNA	AL139424.1	gencode	1647	chr1	10429880	10430677	AL139424.1	100	-	ENSG00000271989.1	796	797	0.998745294855709	797	798
chr1	11029659	11030528	AL109811.2	100	+	lncRNA	AL109811.2	gencode	1725	chr1	11029658	11030528	AL109811.2	100	+	ENSG00000271895.2	869	870	0.9988505747126437	870	871
chr1	11068471	11073097	AL109811.1	100	+	lncRNA	AL109811.1	gencode	1734	chr1	11068470	11073097	AL109811.1	100	+	ENSG00000226849.1	4626	4627	0.9997838772422736	4627	4628
chr1	11099675	11102100	EXOSC10-AS1	100	+	lncRNA	EXOSC10-AS1	gencode	1738	chr1	11099674	11102100	EXOSC10-AS1	100	+	ENSG00000230337.1	2425	2426	0.9995877988458368	2426	2427
chr1	15111815	15153618	TMEM51-AS1	100	-	lncRNA	TMEM51-AS1	gencode	2181	chr1	15111814	15153618	TMEM51-AS1	100	-	ENSG00000175147.13	41803	41804	0.9999760788441298	41804	41805
chr1	15326680	15343876	FHAD1-AS1	100	-	lncRNA	FHAD1-AS1	gencode	2211	chr1	15326679	15343876	AL031283.2	100	-	ENSG00000233485.1	17196	17197	0.9999418503227308	17197	17198
chr1	15402979	15409433	AL031283.1	100	-	lncRNA	AL031283.1	gencode	2215	chr1	15402978	15409433	AL031283.1	100	-	ENSG00000228140.2	6454	6455	0.9998450813323005	6455	6456
chr1	15834474	15848147	FLJ37453	100	-	lncRNA	FLJ37453	gencode	2301	chr1	15834473	15848147	AL450998.2	100	-	ENSG00000179743.4	13673	13674	0.9999268685095802	13674	13675
chr1	16155211	16157329	AL451042.2	100	+	lncRNA	AL451042.2	gencode	2386	chr1	16155210	16157329	AL451042.2	100	+	ENSG00000227959.1	2118	2119	0.9995280792826805	2119	2120
chr1	16460948	16468481	LINC01772	100	+	lncRNA	LINC01772	gencode	2447	chr1	16460947	16468481	LINC01772	100	+	ENSG00000226029.1	7533	7534	0.999867268383329	7534	7535
chr1	16514645	16515754	AL137802.2	100	+	lncRNA	AL137802.2	gencode	2467	chr1	16514644	16515754	AL137802.2	100	+	ENSG00000261135.1	1109	1110	0.9990990990990991	1110	1111
chr1	16533886	16536172	LINC01783	100	-	lncRNA	LINC01783	gencode	2478	chr1	16533885	16536172	LINC01783	100	-	ENSG00000233421.4	2286	2287	0.9995627459554001	2287	2288
chr1	16870945	16883659	BX284668.2	100	+	lncRNA	BX284668.2	gencode	2575	chr1	16870944	16883659	BX284668.2	100	+	ENSG00000228549.4	12714	12715	0.9999213527329925	12715	12716
chr1	16887577	16889706	BX284668.5	100	-	lncRNA	BX284668.5	gencode	2585	chr1	16887576	16889706	BX284668.5	100	-	ENSG00000238142.2	2129	2130	0.9995305164319249	2130	2131
chr1	17189783	17197617	LINC02783	100	+	lncRNA	LINC02783	gencode	2648	chr1	17189782	17197617	AL590644.1	100	+	ENSG00000204362.6	7834	7835	0.9998723675813657	7835	7836
chr1	18109389	18115861	AL365209.1	100	+	TEC	AL365209.1	gencode	2773	chr1	18109388	18115861	AL365209.1	100	+	ENSG00000280222.1	6472	6473	0.999845512127298	6473	6474
chr1	19210501	19240704	EMC1-AS1	100	+	lncRNA	EMC1-AS1	gencode	2927	chr1	19210500	19240704	EMC1-AS1	100	+	ENSG00000230424.1	30203	30204	0.9999668918024103	30204	30205
chr1	20642657	20652193	PINK1-AS	100	-	lncRNA	PINK1-AS	gencode	3146	chr1	20642656	20652193	PINK1-AS	100	-	ENSG00000117242.7	9536	9537	0.9998951452238649	9537	9538
chr1	21293290	21299874	ECE1-AS1	100	+	lncRNA	ECE1-AS1	gencode	3212	chr1	21293289	21299874	AL031728.1	100	+	ENSG00000231105.2	6584	6585	0.9998481397114655	6585	6586
chr1	22023990	22026048	LINC01635	100	-	lncRNA	LINC01635	gencode	3357	chr1	22023989	22026048	LINC01635	100	-	ENSG00000228397.3	2058	2059	0.9995143273433705	2059	2060
chr1	22024558	22031223	LINC00339	100	+	lncRNA	LINC00339	gencode	3358	chr1	22024557	22031223	LINC00339	100	+	ENSG00000218510.8	6665	6666	0.9998499849984999	6666	6667
chr1	23281307	23287488	LINC01355	100	-	lncRNA	LINC01355	gencode	3578	chr1	23281306	23287488	LINC01355	100	-	ENSG00000261326.4	6181	6182	0.9998382400517631	6182	6183
chr1	23378380	23379029	AL109936.3	100	-	lncRNA	AL109936.3	gencode	3589	chr1	23378379	23379029	AL109936.2	100	-	ENSG00000271420.1	649	650	0.9984615384615385	650	651
chr1	23706901	23778296	ELOA-AS1	100	-	lncRNA	ELOA-AS1	gencode	3641	chr1	23706900	23778296	ELOA-AS1	100	-	ENSG00000236810.6	71395	71396	0.9999859936130876	71396	71397
chr1	25859613	25863420	AL033528.3	100	+	lncRNA	AL033528.3	gencode	3952	chr1	25859612	25863420	AL033528.2	100	+	ENSG00000236528.1	3807	3808	0.9997373949579832	3808	3809
chr1	26692132	26694131	AL512408.1	100	-	lncRNA	AL512408.1	gencode	4129	chr1	26692131	26694131	AL512408.1	100	-	ENSG00000260063.1	1999	2000	0.9995	2000	2001
chr1	27819983	27820341	AL020997.3	100	+	lncRNA	AL020997.3	gencode	4337	chr1	27819982	27820341	AL020997.3	100	+	ENSG00000270031.1	358	359	0.9972144846796658	359	360
chr1	28239509	28241453	AL353622.1	100	-	lncRNA	AL353622.1	gencode	4413	chr1	28239508	28241453	AL353622.1	100	-	ENSG00000270605.1	1944	1945	0.9994858611825193	1945	1946
chr1	28505980	28510892	SNHG3	100	+	lncRNA	SNHG3	gencode	4458	chr1	28505979	28510892	SNHG3	100	+	ENSG00000242125.3	4912	4913	0.9997964583757378	4913	4914
chr1	28544460	28546542	AL513497.1	100	+	TEC	AL513497.1	gencode	4471	chr1	28544459	28546542	AL513497.1	100	+	ENSG00000279443.1	2082	2083	0.99951992318771	2083	2084
chr1	28578538	28583132	SNHG12	100	-	lncRNA	SNHG12	gencode	4475	chr1	28578537	28583132	SNHG12	100	-	ENSG00000197989.14	4594	4595	0.9997823721436344	4595	4596
chr1	28643228	28648581	LINC01715	100	+	lncRNA	LINC01715	gencode	4494	chr1	28643227	28648581	LINC01715	100	+	ENSG00000229388.1	5353	5354	0.999813223757938	5354	5355
chr1	28870483	28877336	AL009181.1	100	-	lncRNA	AL009181.1	gencode	4535	chr1	28870482	28877336	AL009181.1	100	-	ENSG00000233427.1	6853	6854	0.9998540997957397	6854	6855
chr1	30718504	30726827	MATN1-AS1	100	+	lncRNA	MATN1-AS1	gencode	4906	chr1	30718503	30726827	MATN1-AS1	100	+	ENSG00000186056.10	8323	8324	0.9998798654493032	8324	8325
chr1	31851913	31921841	AL136115.2	100	-	lncRNA	AL136115.2	gencode	5173	chr1	31851912	31921841	AL136115.2	100	-	ENSG00000269967.1	69928	69929	0.9999856997812067	69929	69930
chr1	32204769	32206814	AL049795.1	100	-	lncRNA	AL049795.1	gencode	5241	chr1	32204768	32206814	AL049795.1	100	-	ENSG00000224066.1	2045	2046	0.9995112414467253	2046	2047
chr1	32973553	32974463	AL031602.1	100	+	TEC	AL031602.1	gencode	5399	chr1	32973552	32974463	AL031602.1	100	+	ENSG00000278966.2	910	911	0.9989023051591658	911	912
chr1	33162851	33166298	AL662907.2	100	+	TEC	AL662907.2	gencode	5435	chr1	33162850	33166298	AL662907.2	100	+	ENSG00000279179.1	3447	3448	0.9997099767981439	3448	3449
chr1	33261212	33261680	AL513327.2	100	+	lncRNA	AL513327.2	gencode	5454	chr1	33261211	33261680	AL513327.3	100	+	ENSG00000270115.1	468	469	0.997867803837953	469	470
chr1	35569813	35577729	AC004865.2	100	-	lncRNA	AC004865.2	gencode	5692	chr1	35569812	35577729	AC004865.2	100	-	ENSG00000239636.1	7916	7917	0.9998736895288619	7917	7918
chr1	37350934	37474411	LINC01137	100	-	lncRNA	LINC01137	gencode	5938	chr1	37350933	37474411	LINC01137	100	-	ENSG00000233621.2	123477	123478	0.999991901391341	123478	123479
chr1	38047314	38119025	MIR3659HG	100	+	lncRNA	MIR3659HG	gencode	6066	chr1	38047313	38119025	AL139158.2	100	+	ENSG00000224592.5	71711	71712	0.9999860553324409	71712	71713
chr1	38859912	38965038	AL139260.1	100	+	lncRNA	AL139260.1	gencode	6168	chr1	38859911	38965038	AL139260.1	100	+	ENSG00000228436.3	105126	105127	0.9999904876958345	105127	105128
chr1	39788976	39790171	AL033527.2	100	+	lncRNA	AL033527.2	gencode	6314	chr1	39788975	39790171	AL033527.3	100	+	ENSG00000261798.1	1195	1196	0.9991638795986622	1196	1197
chr1	40256427	40257967	AL050341.2	100	-	lncRNA	AL050341.2	gencode	6375	chr1	40256426	40257967	AL050341.2	100	-	ENSG00000259943.1	1540	1541	0.9993510707332901	1541	1542
chr1	40464319	40466767	AL031985.3	100	+	lncRNA	AL031985.3	gencode	6402	chr1	40464318	40466767	AL031985.3	100	+	ENSG00000260920.2	2448	2449	0.9995916700694161	2449	2450
chr1	40473055	40474059	AL603839.4	100	+	TEC	AL603839.4	gencode	6408	chr1	40473054	40474059	AL603839.4	100	+	ENSG00000279667.1	1004	1005	0.9990049751243781	1005	1006
chr1	40493157	40508661	AL603839.3	100	-	lncRNA	AL603839.3	gencode	6413	chr1	40493156	40508661	AL603839.3	100	-	ENSG00000238287.1	15504	15505	0.999935504675911	15505	15506
chr1	40690380	40692066	NFYC-AS1	100	-	lncRNA	NFYC-AS1	gencode	6438	chr1	40690379	40692066	NFYC-AS1	100	-	ENSG00000272145.1	1686	1687	0.999407231772377	1687	1688
chr1	41014590	41043890	SLFNL1-AS1	100	+	lncRNA	SLFNL1-AS1	gencode	6488	chr1	41014589	41043890	SLFNL1-AS1	100	+	ENSG00000281207.1	29300	29301	0.9999658714719634	29301	29302
chr1	42832522	42846422	AL512353.1	100	-	lncRNA	AL512353.1	gencode	6698	chr1	42832521	42846422	AL512353.1	100	-	ENSG00000228192.8	13900	13901	0.9999280627293	13901	13902
chr1	43354684	43358658	AL139289.1	100	-	lncRNA	AL139289.1	gencode	6785	chr1	43354683	43358658	AL139289.2	100	-	ENSG00000234694.1	3974	3975	0.999748427672956	3975	3976
chr1	43447776	43448644	SZT2-AS1	100	-	lncRNA	SZT2-AS1	gencode	6818	chr1	43447775	43448644	SZT2-AS1	100	-	ENSG00000229372.1	868	869	0.998849252013809	869	870
chr1	43685123	43708138	KDM4A-AS1	100	-	lncRNA	KDM4A-AS1	gencode	6877	chr1	43685122	43708138	KDM4A-AS1	100	-	ENSG00000236200.6	23015	23016	0.9999565519638512	23016	23017
chr1	44030437	44115913	AL139220.2	100	+	lncRNA	AL139220.2	gencode	6936	chr1	44030436	44115913	AL139220.2	100	+	ENSG00000230615.7	85476	85477	0.9999883009464534	85477	85478
chr1	45303910	45305619	LINC01144	100	+	lncRNA	LINC01144	gencode	7125	chr1	45303909	45305619	LINC01144	100	+	ENSG00000281912.1	1709	1710	0.9994152046783625	1710	1711
chr1	45694684	45697075	AL604028.1	100	-	lncRNA	AL604028.1	gencode	7187	chr1	45694683	45697075	AL604028.1	100	-	ENSG00000230896.1	2391	2392	0.9995819397993311	2392	2393
chr1	47432133	47434641	FOXD2-AS1	100	-	lncRNA	FOXD2-AS1	gencode	7379	chr1	47432132	47434641	FOXD2-AS1	100	-	ENSG00000237424.1	2508	2509	0.9996014348345954	2509	2510
chr1	47761132	47765547	AL691459.1	100	-	lncRNA	AL691459.1	gencode	7450	chr1	47761131	47765547	AL691459.1	100	-	ENSG00000223814.1	4415	4416	0.9997735507246377	4416	4417
chr1	48102068	48104736	AL356289.2	100	+	TEC	AL356289.2	gencode	7488	chr1	48102067	48104736	AL356289.3	100	+	ENSG00000279096.2	2668	2669	0.9996253278381416	2669	2670
chr1	48227888	48229561	AL109659.2	100	-	lncRNA	AL109659.2	gencode	7495	chr1	48227887	48229561	AL109659.2	100	-	ENSG00000272491.1	1673	1674	0.9994026284348865	1674	1675
chr1	48262230	48263179	AL109659.3	100	-	TEC	AL109659.3	gencode	7499	chr1	48262229	48263179	AL109659.3	100	-	ENSG00000279214.1	949	950	0.9989473684210526	950	951
chr1	51329654	51335324	TTC39A-AS1	100	+	lncRNA	TTC39A-AS1	gencode	7647	chr1	51329653	51335324	TTC39A-AS1	100	+	ENSG00000261664.5	5670	5671	0.9998236642567448	5671	5672
chr1	52033391	52044279	AL445685.1	100	+	lncRNA	AL445685.1	gencode	7718	chr1	52033390	52044279	AL445685.1	100	+	ENSG00000223390.1	10888	10889	0.9999081642024061	10889	10890
chr1	53220663	53224253	AL606760.3	100	+	lncRNA	AL606760.3	gencode	7863	chr1	53220662	53224253	AL606760.3	100	+	ENSG00000259818.1	3590	3591	0.9997215260373155	3591	3592
chr1	53328233	53336509	LINC01771	100	+	lncRNA	LINC01771	gencode	7882	chr1	53328232	53336509	LINC01771	100	+	ENSG00000225675.2	8276	8277	0.9998791832789659	8277	8278
chr1	54033126	54034880	AL353898.3	100	-	TEC	AL353898.3	gencode	7974	chr1	54033125	54034880	AL353898.3	100	-	ENSG00000280378.1	1754	1755	0.9994301994301994	1755	1756
chr1	54236440	54239063	SSBP3-AS1	100	+	lncRNA	SSBP3-AS1	gencode	8026	chr1	54236439	54239063	SSBP3-AS1	100	+	ENSG00000198711.5	2623	2624	0.9996189024390244	2624	2625
chr1	54886875	54888001	AC096536.2	100	+	lncRNA	AC096536.2	gencode	8171	chr1	54886874	54888001	AC096536.2	100	+	ENSG00000242396.1	1126	1127	0.9991126885536823	1127	1128
chr1	54887563	54888850	DHCR24-DT	100	+	lncRNA	DHCR24-DT	gencode	8172	chr1	54887562	54888850	DHCR24-DT	100	+	ENSG00000233203.6	1287	1288	0.9992236024844721	1288	1289
chr1	55329288	56070513	AL603840.1	100	+	lncRNA	AL603840.1	gencode	8242	chr1	55329287	56070513	AL603840.1	100	+	ENSG00000234810.4	741225	741226	0.999998650883806	741226	741227
chr1	56154545	56477687	AC119674.1	100	-	lncRNA	AC119674.1	gencode	8319	chr1	56154544	56477687	AC119674.1	100	-	ENSG00000260971.4	323142	323143	0.9999969053948252	323143	323144
chr1	58933643	59240555	LINC01358	100	+	lncRNA	LINC01358	gencode	8505	chr1	58933642	59240555	LINC01358	100	+	ENSG00000237352.4	306912	306913	0.9999967417476614	306913	306914
chr1	60515716	60640507	LINC01748	100	-	lncRNA	LINC01748	gencode	8615	chr1	60515715	60640507	LINC01748	100	-	ENSG00000226476.4	124791	124792	0.9999919866658119	124792	124793
chr1	60659631	60868009	AC099792.1	100	-	lncRNA	AC099792.1	gencode	8624	chr1	60659630	60868009	AC099792.1	100	-	ENSG00000231252.3	208378	208379	0.9999952010519294	208379	208380
chr1	62688482	62710694	AC103923.1	100	+	lncRNA	AC103923.1	gencode	8758	chr1	62688481	62710694	AC103923.1	100	+	ENSG00000235545.1	22212	22213	0.9999549813172467	22213	22214
chr1	63320884	63324441	FOXD3-AS1	100	-	lncRNA	FOXD3-AS1	gencode	8810	chr1	63320883	63324441	FOXD3-AS1	100	-	ENSG00000230798.5	3557	3558	0.9997189432265318	3558	3559
chr1	63547082	63550636	DLEU2L	100	+	lncRNA	DLEU2L	gencode	8839	chr1	63547081	63550636	DLEU2L	100	+	ENSG00000116652.6	3554	3555	0.99971870604782	3555	3556
chr1	64972225	65002489	LINC01359	100	-	lncRNA	LINC01359	gencode	9013	chr1	64972224	65002489	LINC01359	100	-	ENSG00000226891.9	30264	30265	0.9999669585329589	30265	30266
chr1	65003470	65004087	AL357078.2	100	-	lncRNA	AL357078.2	gencode	9017	chr1	65003469	65004087	AL357078.3	100	-	ENSG00000272506.1	617	618	0.9983818770226537	618	619
chr1	65486406	65494188	AC119800.1	100	+	lncRNA	AC119800.1	gencode	9072	chr1	65486405	65494188	AC119800.1	100	+	ENSG00000237852.1	7782	7783	0.999871514840036	7783	7784
chr1	67832303	68202987	GNG12-AS1	100	+	lncRNA	GNG12-AS1	gencode	9285	chr1	67832302	68202987	GNG12-AS1	100	+	ENSG00000232284.7	370684	370685	0.9999973022917032	370685	370686
chr1	68496676	68538627	DEPDC1-AS1	100	+	lncRNA	DEPDC1-AS1	gencode	9353	chr1	68496675	68538627	DEPDC1-AS1	100	+	ENSG00000234264.1	41951	41952	0.9999761632341724	41952	41953
chr1	70445071	70445536	AL354872.1	100	+	lncRNA	AL354872.1	gencode	9442	chr1	70445070	70445536	AL354872.2	100	+	ENSG00000271992.1	465	466	0.9978540772532188	466	467
chr1	74698769	74699333	AC135803.1	100	-	lncRNA	AC135803.1	gencode	9609	chr1	74698768	74699333	AC135803.1	100	-	ENSG00000272864.1	564	565	0.9982300884955753	565	566
chr1	77881348	77889539	NEXN-AS1	100	-	lncRNA	NEXN-AS1	gencode	9822	chr1	77881347	77889539	NEXN-AS1	100	-	ENSG00000235927.4	8191	8192	0.9998779296875	8192	8193
chr1	78004346	78004554	AC103591.3	100	-	lncRNA	AC103591.3	gencode	9834	chr1	78004345	78004554	AC103591.3	100	-	ENSG00000273338.1	208	209	0.9952153110047847	209	210
chr1	80535755	80646791	LINC01781	100	+	lncRNA	LINC01781	gencode	9975	chr1	80535754	80646791	LINC01781	100	+	ENSG00000234184.6	111036	111037	0.9999909939929933	111037	111038
chr1	83575776	83861023	LINC01725	100	-	lncRNA	LINC01725	gencode	10081	chr1	83575775	83861023	LINC01725	100	-	ENSG00000233008.6	285247	285248	0.9999964942786628	285248	285249
chr1	83979118	83984300	TTLL7-IT1	100	-	lncRNA	TTLL7-IT1	gencode	10093	chr1	83979117	83984300	TTLL7-IT1	100	-	ENSG00000233061.1	5182	5183	0.9998070615473664	5183	5184
chr1	84076331	84077931	AL359504.1	100	-	lncRNA	AL359504.1	gencode	10098	chr1	84076330	84077931	AL359504.2	100	-	ENSG00000271576.1	1600	1601	0.9993753903810119	1601	1602
chr1	85152487	85154203	AL603750.1	100	-	TEC	AL603750.1	gencode	10182	chr1	85152486	85154203	AL603750.1	100	-	ENSG00000280099.1	1716	1717	0.9994175888177053	1717	1718
chr1	85482281	85578250	AC092807.4	100	-	lncRNA	AC092807.4	gencode	10208	chr1	85482280	85578250	AC092807.3	100	-	ENSG00000282057.1	95969	95970	0.9999895800771075	95970	95971
chr1	86703502	86704462	CLCA4-AS1_2	100	-	lncRNA	CLCA4-AS1	gencode	10290	chr1	86703501	86704462	AL049597.2	100	-	ENSG00000261737.1	960	961	0.9989594172736732	961	962
chr1	87129765	87169198	LINC01140	100	+	lncRNA	LINC01140	gencode	10317	chr1	87129764	87169198	LINC01140	100	+	ENSG00000267272.5	39433	39434	0.9999746411725922	39434	39435
chr1	87620803	88685204	PKN2-AS1	100	-	lncRNA	PKN2-AS1	gencode	10368	chr1	87620802	88685204	PKN2-AS1	100	-	ENSG00000237505.8	1064401	1064402	0.9999990605053354	1064402	1064403
chr1	89581291	89632916	LRRC8C-DT	100	-	lncRNA	LRRC8C-DT	gencode	10474	chr1	89581290	89632916	LRRC8C-DT	100	-	ENSG00000231999.7	51625	51626	0.999980629915159	51626	51627
chr1	89820174	89820868	AC099568.2	100	-	lncRNA	AC099568.2	gencode	10495	chr1	89820173	89820868	AC099568.2	100	-	ENSG00000272931.1	694	695	0.9985611510791367	695	696
chr1	90769086	90851658	LINC02609	100	-	lncRNA	LINC02609	gencode	10568	chr1	90769085	90851658	LINC02609	100	-	ENSG00000233593.10	82572	82573	0.999987889503833	82573	82574
chr1	92189237	92190707	AC104836.1	100	+	lncRNA	AC104836.1	gencode	10671	chr1	92189236	92190707	AC104836.1	100	+	ENSG00000273487.1	1470	1471	0.9993201903467029	1471	1472
